sourceid,relation,targetid
DB00758,dr-di,D013345
DB00758,dr-di,D013575
DB00758,dr-di,D013610
DB00758,dr-di,D013921
DB00758,dr-di,D013923
DB00758,dr-di,D013927
DB00758,dr-di,D014581
DB00758,dr-di,D014652
DB00758,dr-di,D014839
DB00758,dr-di,D015433
DB00758,dr-di,D017202
DB00758,dr-di,D020246
DB00758,dr-di,D020300
DB00758,dr-di,D020521
DB00758,dr-di,D050197
DB00758,dr-di,D054058
DB00758,dr-di,D056486
DB00441,dr-di,D000230
DB00441,dr-di,D000505
DB00441,dr-di,D000707
DB00441,dr-di,D000740
DB00441,dr-di,D000743
DB00441,dr-di,D000855
DB00441,dr-di,D000860
DB00441,dr-di,D001037
DB00441,dr-di,D001247
DB00441,dr-di,D001259
DB00441,dr-di,D001281
DB00441,dr-di,D001282
DB00441,dr-di,D001342
DB00441,dr-di,D001749
DB00441,dr-di,D001766
DB00441,dr-di,D001855
DB00441,dr-di,D001943
DB00441,dr-di,D002037
DB00441,dr-di,D002277
DB00441,dr-di,D002289
DB00441,dr-di,D002292
DB00441,dr-di,D002294
DB00441,dr-di,D002295
DB00441,dr-di,D002583
DB00441,dr-di,D002637
DB00441,dr-di,D003072
DB00441,dr-di,D003221
DB00441,dr-di,D003680
DB00441,dr-di,D003967
DB00441,dr-di,D004417
DB00441,dr-di,D004487
DB00441,dr-di,D004890
DB00441,dr-di,D005076
DB00441,dr-di,D005221
DB00441,dr-di,D005334
DB00441,dr-di,D005767
DB00441,dr-di,D006261
DB00441,dr-di,D006331
DB00441,dr-di,D006333
DB00441,dr-di,D006402
DB00441,dr-di,D006461
DB00441,dr-di,D006463
DB00441,dr-di,D006528
DB00441,dr-di,D006689
DB00441,dr-di,D006932
DB00441,dr-di,D006947
DB00441,dr-di,D006973
DB00441,dr-di,D007010
DB00441,dr-di,D007022
DB00441,dr-di,D007511
DB00441,dr-di,D007674
DB00441,dr-di,D007970
DB00441,dr-di,D008113
DB00441,dr-di,D008171
DB00441,dr-di,D008175
DB00441,dr-di,D008228
DB00441,dr-di,D008654
DB00441,dr-di,D009101
DB00441,dr-di,D009135
DB00441,dr-di,D009203
DB00441,dr-di,D009207
DB00441,dr-di,D009325
DB00441,dr-di,D009336
DB00441,dr-di,D009369
DB00441,dr-di,D009374
DB00441,dr-di,D009422
DB00441,dr-di,D009503
DB00441,dr-di,D010051
DB00441,dr-di,D010146
DB00441,dr-di,D010190
DB00441,dr-di,D010292
DB00441,dr-di,D010490
DB00441,dr-di,D010523
DB00441,dr-di,D011014
DB00441,dr-di,D011471
DB00441,dr-di,D011654
DB00441,dr-di,D012128
DB00441,dr-di,D012206
DB00441,dr-di,D012640
DB00441,dr-di,D012770
DB00441,dr-di,D013280
DB00441,dr-di,D013617
DB00441,dr-di,D013921
DB00441,dr-di,D013927
DB00441,dr-di,D014511
DB00441,dr-di,D014657
DB00441,dr-di,D014786
DB00441,dr-di,D014839
DB00441,dr-di,D015179
DB00441,dr-di,D015433
DB00441,dr-di,D015746
DB00441,dr-di,D016403
DB00441,dr-di,D017093
DB00441,dr-di,D020244
DB00441,dr-di,D020246
DB00441,dr-di,D020258
DB00441,dr-di,D051437
DB00441,dr-di,D052016
DB00441,dr-di,D053609
DB00441,dr-di,D056784
DB00441,dr-di,D058186
DB00441,dr-di,D064420
DB00197,dr-di,D000138
DB00197,dr-di,D000419
DB00197,dr-di,D000855
DB00197,dr-di,D002289
DB00197,dr-di,D002779
DB00197,dr-di,D002780
DB00197,dr-di,D003092
DB00197,dr-di,D003110
DB00197,dr-di,D003920
DB00197,dr-di,D003921
DB00197,dr-di,D003924
DB00197,dr-di,D003925
DB00197,dr-di,D003928
DB00197,dr-di,D004342
DB00197,dr-di,D005234
DB00197,dr-di,D005355
DB00197,dr-di,D005910
DB00197,dr-di,D005921
DB00197,dr-di,D006331
DB00197,dr-di,D006501
DB00197,dr-di,D006505
DB00197,dr-di,D006528
DB00197,dr-di,D006932
DB00197,dr-di,D006943
DB00197,dr-di,D006946
DB00197,dr-di,D006949
DB00197,dr-di,D006965
DB00197,dr-di,D006973
DB00197,dr-di,D007249
DB00197,dr-di,D007333
DB00197,dr-di,D007511
DB00197,dr-di,D007565
DB00197,dr-di,D008103
DB00197,dr-di,D008113
DB00197,dr-di,D008114
DB00197,dr-di,D008175
DB00197,dr-di,D008325
DB00197,dr-di,D009220
DB00197,dr-di,D009336
DB00197,dr-di,D009361
DB00197,dr-di,D009389
DB00197,dr-di,D010190
DB00197,dr-di,D011230
DB00197,dr-di,D011507
DB00197,dr-di,D011537
DB00197,dr-di,D011565
DB00197,dr-di,D011658
DB00197,dr-di,D012878
DB00197,dr-di,D013274
DB00197,dr-di,D013964
DB00197,dr-di,D015228
DB00197,dr-di,D015427
DB00197,dr-di,D015430
DB00197,dr-di,D015470
DB00197,dr-di,D017093
DB00197,dr-di,D017114
DB00197,dr-di,D020258
DB00197,dr-di,D047508
DB00197,dr-di,D050197
DB00197,dr-di,D051437
DB00197,dr-di,D054198
DB00197,dr-di,D056486
DB00197,dr-di,D064420
DB01132,dr-di,D000419
DB01132,dr-di,D001321
DB01132,dr-di,D001523
DB01132,dr-di,D001749
DB01132,dr-di,D001930
DB01132,dr-di,D002277
DB01132,dr-di,D002780
DB01132,dr-di,D003072
DB01132,dr-di,D003110
DB01132,dr-di,D003550
DB01132,dr-di,D003920
DB01132,dr-di,D003921
DB01132,dr-di,D003924
DB01132,dr-di,D003925
DB01132,dr-di,D003928
DB01132,dr-di,D004487
DB01132,dr-di,D005923
DB01132,dr-di,D006333
DB01132,dr-di,D006501
DB01132,dr-di,D006528
DB01132,dr-di,D006943
DB01132,dr-di,D006946
DB01132,dr-di,D006949
DB01132,dr-di,D006965
DB01132,dr-di,D007249
DB01132,dr-di,D007333
DB01132,dr-di,D007565
DB01132,dr-di,D007674
DB01132,dr-di,D008106
DB01132,dr-di,D008114
DB01132,dr-di,D008569
DB01132,dr-di,D009203
DB01132,dr-di,D009336
DB01132,dr-di,D009765
DB01132,dr-di,D010300
DB01132,dr-di,D011507
DB01132,dr-di,D011654
DB01132,dr-di,D011658
DB01132,dr-di,D015430
DB01132,dr-di,D017114
DB01132,dr-di,D018149
DB01132,dr-di,D018487
DB01132,dr-di,D019954
DB01132,dr-di,D020244
DB01132,dr-di,D020258
DB01132,dr-di,D050171
DB01132,dr-di,D056486
DB00549,dr-di,D001249
DB00549,dr-di,D003371
DB00549,dr-di,D003550
DB00549,dr-di,D004487
DB00549,dr-di,D004715
DB00549,dr-di,D004802
DB00549,dr-di,D006261
DB00549,dr-di,D006501
DB00549,dr-di,D006505
DB00549,dr-di,D006976
DB00549,dr-di,D007249
DB00549,dr-di,D007565
DB00549,dr-di,D007964
DB00549,dr-di,D008881
DB00549,dr-di,D009325
DB00549,dr-di,D009336
DB00549,dr-di,D010146
DB00549,dr-di,D010195
DB00549,dr-di,D010612
DB00549,dr-di,D011654
DB00549,dr-di,D012852
DB00549,dr-di,D014581
DB00549,dr-di,D014657
DB00549,dr-di,D015267
DB00549,dr-di,D015427
DB00549,dr-di,D029424
DB00549,dr-di,D047508
DB00549,dr-di,D056486
DB00796,dr-di,D000014
DB00796,dr-di,D000419
DB00796,dr-di,D000505
DB00796,dr-di,D000740
DB00796,dr-di,D000743
DB00796,dr-di,D000744
DB00796,dr-di,D001161
DB00796,dr-di,D001247
DB00796,dr-di,D001327
DB00796,dr-di,D001416
DB00796,dr-di,D003866
DB00796,dr-di,D003967
DB00796,dr-di,D005076
DB00796,dr-di,D005315
DB00796,dr-di,D005334
DB00796,dr-di,D005921
DB00796,dr-di,D006330
DB00796,dr-di,D006402
DB00796,dr-di,D006471
DB00796,dr-di,D006505
DB00796,dr-di,D006529
DB00796,dr-di,D006973
DB00796,dr-di,D007249
DB00796,dr-di,D007674
DB00796,dr-di,D007970
DB00796,dr-di,D008180
DB00796,dr-di,D008223
DB00796,dr-di,D009135
DB00796,dr-di,D009157
DB00796,dr-di,D009190
DB00796,dr-di,D009325
DB00796,dr-di,D009369
DB00796,dr-di,D009393
DB00796,dr-di,D009404
DB00796,dr-di,D009436
DB00796,dr-di,D011183
DB00796,dr-di,D011297
DB00796,dr-di,D011507
DB00796,dr-di,D011537
DB00796,dr-di,D011565
DB00796,dr-di,D012010
DB00796,dr-di,D012817
DB00796,dr-di,D013921
DB00796,dr-di,D016393
DB00796,dr-di,D017285
DB00796,dr-di,D018366
DB00796,dr-di,D018771
DB00796,dr-di,D018908
DB00796,dr-di,D020246
DB00796,dr-di,D056486
DB01095,dr-di,D000787
DB01095,dr-di,D000855
DB01095,dr-di,D001424
DB01095,dr-di,D002318
DB01095,dr-di,D002471
DB01095,dr-di,D003327
DB01095,dr-di,D003882
DB01095,dr-di,D003929
DB01095,dr-di,D004415
DB01095,dr-di,D006261
DB01095,dr-di,D006333
DB01095,dr-di,D006937
DB01095,dr-di,D006949
DB01095,dr-di,D007024
DB01095,dr-di,D009101
DB01095,dr-di,D009135
DB01095,dr-di,D009202
DB01095,dr-di,D009203
DB01095,dr-di,D009325
DB01095,dr-di,D009336
DB01095,dr-di,D009361
DB01095,dr-di,D010146
DB01095,dr-di,D011115
DB01095,dr-di,D011507
DB01095,dr-di,D012640
DB01095,dr-di,D013262
DB01095,dr-di,D015228
DB01095,dr-di,D015746
DB01095,dr-di,D050171
DB01095,dr-di,D050197
DB01095,dr-di,D056486
DB00814,dr-di,D001168
DB00814,dr-di,D001172
DB00814,dr-di,D001259
DB00814,dr-di,D003221
DB00814,dr-di,D003875
DB00814,dr-di,D003967
DB00814,dr-di,D004342
DB00814,dr-di,D005767
DB00814,dr-di,D006528
DB00814,dr-di,D007249
DB00814,dr-di,D007674
DB00814,dr-di,D009325
DB00814,dr-di,D009369
DB00814,dr-di,D010003
DB00814,dr-di,D010146
DB00814,dr-di,D010149
DB00814,dr-di,D011507
DB00814,dr-di,D012021
DB00814,dr-di,D012798
DB00814,dr-di,D013262
DB00814,dr-di,D013276
DB00814,dr-di,D013923
DB00814,dr-di,D014202
DB00814,dr-di,D014581
DB00814,dr-di,D014839
DB00814,dr-di,D015179
DB00814,dr-di,D015427
DB00814,dr-di,D018908
DB00814,dr-di,D047928
DB00814,dr-di,D053609
DB00814,dr-di,D056486
DB00814,dr-di,D064420
DB01248,dr-di,D000077192
DB01248,dr-di,D000230
DB01248,dr-di,D000380
DB01248,dr-di,D000505
DB01248,dr-di,D000707
DB01248,dr-di,D000740
DB01248,dr-di,D000855
DB01248,dr-di,D001145
DB01248,dr-di,D001247
DB01248,dr-di,D001281
DB01248,dr-di,D001749
DB01248,dr-di,D001927
DB01248,dr-di,D001943
DB01248,dr-di,D002289
DB01248,dr-di,D002294
DB01248,dr-di,D002295
DB01248,dr-di,D002471
DB01248,dr-di,D002524
DB01248,dr-di,D002544
DB01248,dr-di,D003110
DB01248,dr-di,D003231
DB01248,dr-di,D003244
DB01248,dr-di,D003872
DB01248,dr-di,D003875
DB01248,dr-di,D003967
DB01248,dr-di,D004342
DB01248,dr-di,D004417
DB01248,dr-di,D004487
DB01248,dr-di,D004890
DB01248,dr-di,D004938
DB01248,dr-di,D005221
DB01248,dr-di,D005334
DB01248,dr-di,D005483
DB01248,dr-di,D005910
DB01248,dr-di,D006331
DB01248,dr-di,D006333
DB01248,dr-di,D006402
DB01248,dr-di,D006470
DB01248,dr-di,D006501
DB01248,dr-di,D006505
DB01248,dr-di,D006528
DB01248,dr-di,D006943
DB01248,dr-di,D006996
DB01248,dr-di,D007022
DB01248,dr-di,D007177
DB01248,dr-di,D007239
DB01248,dr-di,D007970
DB01248,dr-di,D008171
DB01248,dr-di,D008175
DB01248,dr-di,D008545
DB01248,dr-di,D009101
DB01248,dr-di,D009135
DB01248,dr-di,D009202
DB01248,dr-di,D009325
DB01248,dr-di,D009336
DB01248,dr-di,D009362
DB01248,dr-di,D009369
DB01248,dr-di,D009374
DB01248,dr-di,D009410
DB01248,dr-di,D009422
DB01248,dr-di,D009503
DB01248,dr-di,D010051
DB01248,dr-di,D010190
DB01248,dr-di,D010195
DB01248,dr-di,D010292
DB01248,dr-di,D010490
DB01248,dr-di,D010523
DB01248,dr-di,D010689
DB01248,dr-di,D010996
DB01248,dr-di,D011014
DB01248,dr-di,D011115
DB01248,dr-di,D011471
DB01248,dr-di,D011655
DB01248,dr-di,D012509
DB01248,dr-di,D012871
DB01248,dr-di,D012878
DB01248,dr-di,D013064
DB01248,dr-di,D013262
DB01248,dr-di,D013274
DB01248,dr-di,D013280
DB01248,dr-di,D013921
DB01248,dr-di,D013924
DB01248,dr-di,D014594
DB01248,dr-di,D014839
DB01248,dr-di,D015431
DB01248,dr-di,D015470
DB01248,dr-di,D018487
DB01248,dr-di,D018771
DB01248,dr-di,D018908
DB01248,dr-di,D020234
DB01248,dr-di,D020246
DB01248,dr-di,D052016
DB01248,dr-di,D054198
DB01248,dr-di,D054556
DB01248,dr-di,D056486
DB01248,dr-di,D064420
DB00334,dr-di,D000341
DB00334,dr-di,D000647
DB00334,dr-di,D001008
DB00334,dr-di,D001068
DB00334,dr-di,D001145
DB00334,dr-di,D001264
DB00334,dr-di,D001281
DB00334,dr-di,D001321
DB00334,dr-di,D001480
DB00334,dr-di,D001523
DB00334,dr-di,D001714
DB00334,dr-di,D001763
DB00334,dr-di,D001919
DB00334,dr-di,D002318
DB00334,dr-di,D002375
DB00334,dr-di,D002389
DB00334,dr-di,D002561
DB00334,dr-di,D002653
DB00334,dr-di,D002658
DB00334,dr-di,D002819
DB00334,dr-di,D003072
DB00334,dr-di,D003128
DB00334,dr-di,D003244
DB00334,dr-di,D003248
DB00334,dr-di,D003693
DB00334,dr-di,D003704
DB00334,dr-di,D003865
DB00334,dr-di,D003866
DB00334,dr-di,D003920
DB00334,dr-di,D004211
DB00334,dr-di,D004244
DB00334,dr-di,D004342
DB00334,dr-di,D004409
DB00334,dr-di,D004421
DB00334,dr-di,D004487
DB00334,dr-di,D004802
DB00334,dr-di,D005221
DB00334,dr-di,D005234
DB00334,dr-di,D005334
DB00334,dr-di,D005879
DB00334,dr-di,D006212
DB00334,dr-di,D006261
DB00334,dr-di,D006327
DB00334,dr-di,D006505
DB00334,dr-di,D006943
DB00334,dr-di,D006946
DB00334,dr-di,D006948
DB00334,dr-di,D006949
DB00334,dr-di,D006966
DB00334,dr-di,D006970
DB00334,dr-di,D006973
DB00334,dr-di,D007022
DB00334,dr-di,D007024
DB00334,dr-di,D007035
DB00334,dr-di,D007172
DB00334,dr-di,D007232
DB00334,dr-di,D007319
DB00334,dr-di,D007333
DB00334,dr-di,D008133
DB00334,dr-di,D008569
DB00334,dr-di,D009069
DB00334,dr-di,D009122
DB00334,dr-di,D009127
DB00334,dr-di,D009135
DB00334,dr-di,D009207
DB00334,dr-di,D009212
DB00334,dr-di,D009325
DB00334,dr-di,D009422
DB00334,dr-di,D009459
DB00334,dr-di,D009461
DB00334,dr-di,D009503
DB00334,dr-di,D009765
DB00334,dr-di,D009771
DB00334,dr-di,D010146
DB00334,dr-di,D010195
DB00334,dr-di,D010259
DB00334,dr-di,D010302
DB00334,dr-di,D010612
DB00334,dr-di,D011141
DB00334,dr-di,D011317
DB00334,dr-di,D011537
DB00334,dr-di,D011559
DB00334,dr-di,D011595
DB00334,dr-di,D011605
DB00334,dr-di,D011618
DB00334,dr-di,D011655
DB00334,dr-di,D012131
DB00334,dr-di,D012148
DB00334,dr-di,D012559
DB00334,dr-di,D012563
DB00334,dr-di,D012640
DB00334,dr-di,D012735
DB00334,dr-di,D012798
DB00334,dr-di,D013009
DB00334,dr-di,D013064
DB00334,dr-di,D013226
DB00334,dr-di,D013313
DB00334,dr-di,D013342
DB00334,dr-di,D013375
DB00334,dr-di,D013575
DB00334,dr-di,D013610
DB00334,dr-di,D014103
DB00334,dr-di,D014202
DB00334,dr-di,D014549
DB00334,dr-di,D014555
DB00334,dr-di,D014652
DB00334,dr-di,D014693
DB00334,dr-di,D014839
DB00334,dr-di,D014987
DB00334,dr-di,D015228
DB00334,dr-di,D015430
DB00334,dr-di,D015431
DB00334,dr-di,D016055
DB00334,dr-di,D016584
DB00334,dr-di,D017109
DB00334,dr-di,D017180
DB00334,dr-di,D018366
DB00334,dr-di,D018476
DB00334,dr-di,D019956
DB00334,dr-di,D019964
DB00334,dr-di,D019966
DB00334,dr-di,D019969
DB00334,dr-di,D019970
DB00334,dr-di,D020018
DB00334,dr-di,D020246
DB00334,dr-di,D020734
DB00334,dr-di,D020821
DB00334,dr-di,D024821
DB00334,dr-di,D050171
DB00334,dr-di,D054556
DB00334,dr-di,D055154
DB00334,dr-di,D056486
DB00334,dr-di,D062787
DB00334,dr-di,D064420
DB00796,dr-di,D000419
DB00796,dr-di,D000799
DB00796,dr-di,D002312
DB00796,dr-di,D002545
DB00796,dr-di,D004719
DB00796,dr-di,D005317
DB00796,dr-di,D005921
DB00796,dr-di,D005923
DB00796,dr-di,D006332
DB00796,dr-di,D006333
DB00796,dr-di,D006947
DB00796,dr-di,D006973
DB00796,dr-di,D006984
DB00796,dr-di,D007008
DB00796,dr-di,D007022
DB00796,dr-di,D007249
DB00796,dr-di,D007333
DB00796,dr-di,D007674
DB00796,dr-di,D007752
DB00796,dr-di,D008881
DB00796,dr-di,D009202
DB00796,dr-di,D011507
DB00796,dr-di,D013280
